brand,name,weight,price
KIRKWOOD,"Frozen Chicken Wings, 64 oz",64 oz,$13.19
CATTLEMEN'S RANCH,"Bacon Cheddar Beef Burger Patties, 2 lb",2 lb,$11.85
L'OVEN FRESH,"Parmesan Romano Garlic Bread, 10 oz",10 oz,$3.85
SEA QUEEN,"Medium Cooked Shrimp, 12 oz",12 oz,$6.59
BREAKFAST BEST,"Pre-Cooked Maple Sausage Patties, 32 oz",32 oz,$8.79
SUNDAE SHOPPE,"Chocolate Chip Cookie Dough Ice Cream, 48 oz",48 fl oz,$3.25
,"85% Lean Ground Beef Chub, 16 oz",16 oz,$6.59
BREAKFAST BEST,"Frozen Buttermilk Pancakes, 24 count",32 oz,$3.95
MAMA COZZI'S PIZZA KITCHEN,"Garlic Texas Toast, 8 count",11.25 oz,$2.19
MAMA COZZI'S PIZZA KITCHEN,"5 Cheese Texas Toast, 8 count",14 oz,$2.19
KIRKWOOD,"Honey Battered Chicken Breast Tenders, 25.5 oz",25.5 oz,$6.05
L'OVEN FRESH,"Garlic Herb Bread, 10 oz",10 oz,$3.85
BREAKFAST BEST,"Frozen Heat & Serve Sausage Links, 10 Count",6.4 oz,$1.65
SUNDAE SHOPPE,"Chocolate Ice Cream, 48 fl oz",48 fl oz,$3.25
PRIANO,"Cheese Ravioli, 25 oz",25 oz,$4.39
BREMER,"Garlic Chicken Skillet, 21 oz",21 oz,$3.85
SPECIALLY SELECTED,"Mussels in Natural Juices, 16 oz",14 oz,$2.75
SEASON'S CHOICE,"Steak Cut French Fries, 28 oz",28 oz,$3.19
,"73/27 Ground Beef Roll, 3 lb",3 lb,$16.49
,"Original Breakfast Sausage Patties, 12 oz",12 oz,$2.65
KIRKWOOD,"Frozen Chicken Breasts, 48 oz",48 oz,$9.69
SEASON'S CHOICE,"Frozen Extra Fine Green Beans, 16 oz",16 oz,$2.85
SPECIALLY SELECTED,"Jumbo Scallops, 12 oz",12 oz,$17.05
SPECIALLY SELECTED,"Chocolate Premium Ice Cream, 48 fl oz",48 fl oz,$5.49
SPECIALLY SELECTED,"Wild Caught Ahi Tuna, per lb",12 oz,$5.35
KIRKWOOD,"Breaded Chicken Breast Patties, 23.8 oz",23.8 oz,$5.49
FUSIA ASIAN INSPIRATIONS,"Chicken Fried Rice, 22 oz",22 oz,$6.59
BREAKFAST BEST,"Sausage & Gravy Breakfast Bowl, 7 oz",7 oz,$2.05
SPECIALLY SELECTED,"Vanilla Premium Ice Cream, 48 fl oz",48 fl oz,$5.49
SUNDAE SHOPPE,"Vanilla Bean Ice Cream, 48 oz",48 fl oz,$3.25
SEASON'S CHOICE,"Steamable Frozen Asian Medley, 12 oz",12 oz,$1.75
,"75/25 Ground Beef Patties, 3 lb",3 lb,$14.85
SEASON'S CHOICE,"Crinkle Cut Potatoes, 32 oz",32 oz,$3.19
SUNDAE SHOPPE,"Butter Pecan Ice Cream, 48 oz",48 fl oz,$3.25
SUNDAE SHOPPE,"Cookies and Cream Ice Cream, 48 oz",48 fl oz,$3.25
BREAKFAST BEST,"Frozen Homestyle Waffles, 10 count",12.3 oz,$2.39
SEASON'S CHOICE,"Steamable Frozen Sweet Corn, 12 oz",12 oz,$1.09
KIRKWOOD,"Boneless Skinless Chicken Thighs, 48 oz",48 oz,$7.69
CATTLEMEN'S RANCH,"Black Angus Beef Burger Patties, 2 lb",2 lb,$11.85
FUSIA ASIAN INSPIRATIONS,"Chicken Egg Rolls, 12.26 oz",12.26 oz,$3.45
KIRKWOOD,"Frozen Popcorn Chicken, 25.5 oz",25.5 oz,$8.05
APPETITOS,"Mozzarella Sticks, 11 oz",11 oz,$2.99
CASA MAMITA,"Beef Taquitos, 20 oz",20 oz,$5.39
MAMA COZZI'S PIZZA KITCHEN,"Toasted Cheese Ravioli, 1 lb",16 oz,$4.39
MAMA COZZI'S PIZZA KITCHEN,"Toasted Beef Ravioli, 1 lb",16 oz,$4.39
SEASON'S CHOICE,"Frozen Pineapple, 24 oz",24 oz,$4.35
SEASON'S CHOICE,"Frozen Mango Chunks, 24 oz",24 oz,$4.35
SEASON'S CHOICE,"Frozen Strawberries, 24 oz",24 oz,$4.75
SEASON'S CHOICE,"Frozen Berry Medley, 32 oz",32 oz,$7.69
APPETITOS,"Loaded Potato Skins, 8.5 oz",8.5 oz,$2.99
BREMER,"Salisbury Steak, 28 oz",28 oz,$3.95
CASA MAMITA,"Beef and Bean Burritos, 8 count",32 oz,$4.19
BREAKFAST BEST,"Frozen Pancakes & Sausage On-A-Stick, 25 oz",25 oz,$6.59
BREAKFAST BEST,"Cinnamon French Toast Sticks, 16 oz",16 oz,$3.49
BREMER,"Potato & Cheddar Pierogis, 16 oz",16 oz,$2.55
BREMER,"Frozen Regular Corndogs, 6 count",16 oz,$3.75
EARTH GROWN,"Classic Vegan Meatless Meatballs, 16 oz",16 oz,$5.49
BREAKFAST BEST,"Original French Toast Sticks, 16 oz",16 oz,$3.49
SEASON'S CHOICE,"Hash Brown Patties, 20 count",20 ct,$5.49
KIRKWOOD,"Family Size Chicken Nuggets, 3 lb",48 oz,$7.15
