brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
MAMA COZZI'S PIZZA KITCHEN,"Calzone Pepperoni, 7 oz",7 oz,$2.55,591.3309621527778,26.058652569444444,198.44666187500002
MAMA COZZI'S PIZZA KITCHEN,"Calzone Four Cheese, 7 oz",7 oz,$2.55,579.5344992809735,28.098642389380533,198.44666187500002
PARK STREET DELI,"BBQ Pulled Chicken, 16 oz",16 oz,$6.59,734.6918669014086,47.914686971830996,453.5923700000001
PARK STREET DELI,"BBQ Pulled Pork, 16 oz",16 oz,$6.59,1022.1799887323946,54.303311901408456,453.5923700000001
BAKE HOUSE CREATIONS,"Cinnamon Rolls with Icing, 8 count",8 ct,$2.45,5.454545454545455,0.07272727272727274,1.6
APPLETON FARMS,"Premium Sliced Bacon, 16 oz",16 oz,$4.65,2267.9618500000006,170.09713875000003,453.5923700000001
LUNCH MATE,"Bologna, 1 lb",16 oz,$1.65,1295.9782,48.599182500000005,453.5923700000001
PRIANO,"Three Cheese Tortelloni, 20 oz",20 oz,$6.45,1417.4761562500005,68.03885550000003,566.9904625000001
APPLETON FARMS,"Original Gluten Free Bite Size Dry Salami, 8 oz",8 oz,$6.95,809.9863750000001,64.79891,226.79618500000004
SIMMS,"Turkey Sausage Snack Sticks, 8 oz",8 oz,$4.15,566.9904625000001,49.611665468750004,226.79618500000004
SIMPLY NATURE,"Organic Uncured Beef Hot Dogs, 10 oz",10 oz,$4.75,708.7380781250001,41.34305455729167,283.4952312500001
BAKE HOUSE CREATIONS,"Jumbo Flaky Biscuits, 16 oz",16 oz,$1.99,1352.8193491228071,23.873282631578952,453.5923700000001
BAKE HOUSE CREATIONS,"Jumbo Buttermilk Biscuits, 8 count",16 oz,$1.99,1352.8193491228071,23.873282631578952,453.5923700000001
ALDI,"Summer Caprese Pasta Salad, 20 oz",20 oz,$5.49,984.4449788461541,37.38398653846155,566.9904625000001
MAMA COZZI'S PIZZA KITCHEN,"Cheesy Breadsticks, 18.75 oz",18.75 oz,$4.75,1721.9340630501763,59.89335871478874,531.55355859375
SIMPLY NATURE,"Organic Oven Roasted Turkey Breast, 6 oz",6 oz,$6.05,170.09713875000003,40.82331330000001,170.09713875000003
PRIANO,"Spinach and Mozzarella Ravioli, 9 oz",9 oz.,$3.29,389.80594296875006,17.718451953125005,255.14570812500006
ALDI,"Fresh & Zesty Rotini Pasta Salad, 20 oz",20 oz,$5.49,737.0876012500003,17.009713875000006,566.9904625000001
