brand,name,weight,price
COUNTRYSIDE CREAMERY,"Spreadable Irish Butter with Canola Oil, 7.5 oz",7.5 oz,$3.85
EMPORIUM SELECTION,"Plain Havarti Cheese, 8 oz",8 oz,$3.19
REGGANO,"Grated Parmesan and Romano Cheese, 8 oz",8 oz,$3.25
HAPPY FARMS,"Shredded Mild Cheddar Cheese, 16 oz",16 oz,$3.75
HAPPY FARMS,"Deli Sliced Medium Cheddar Cheese, 8 oz",8 oz,$1.75
SPECIALLY SELECTED,"Honey Vanilla Indulgent Greek Yogurt, 32 oz",32 oz,$4.15
GOLDHEN,"Free Range Large Brown Grade A Eggs, 12 count",12 ct,$5.05
BARISSIMO,"Sugar Free Hazelnut Coffee Creamer, 32 fl oz",32 fl oz,$2.75
SIMPLY NATURE,"Organic Whole Milk Plain Yogurt, 32 oz",32 oz,$4.39
SIMPLY NATURE,"Organic Whole Milk Vanilla Yogurt, 32 oz",32 oz,$4.39
BARISSIMO,"French Vanilla Coffee Creamer, 32 fl oz",32 oz,$2.75
FRIENDLY FARMS,"Whipped Dairy Topping, 13 oz",13 oz,$3.29
SIMPLY NATURE,"Original Organic Soymilk, 64 fl oz",64 fl oz,$3.29
FRIENDLY FARMS,"Lowfat Cherry Yogurt, 6 oz",6 oz,$0.65
FRIENDLY FARMS,"Lowfat Blueberry Yogurt, 6 oz",6 oz,$0.65
FRIENDLY FARMS,"Lowfat Raspberry Yogurt, 6 oz",6 oz,$0.65
HAPPY FARMS,"Mozzarella Cheese Block, 8 oz",8 oz,$2.05
EMPORIUM SELECTION,"Fresh Mozzarella Ball, 8 oz",8 oz,$2.99
FRIENDLY FARMS,"Fat Free Half & Half, 1 qt",32 fl oz,$3.09
FRIENDLY FARMS,"Half & Half Creamer, 32 fl oz",32 fl oz,$3.09
HAPPY FARMS,"Mild Cheddar Cheese Cubes, 8 oz",8 oz,$2.09
HAPPY FARMS,"Whipped Cream Cheese Spread, 8 oz",8 oz,$2.45
FRIENDLY FARMS,"Low-fat Strawberry Banana Yogurt, 6 oz",6 oz,$0.65
FRIENDLY FARMS,"Lowfat Peach Yogurt, 6 oz",6 oz,$0.65
EMPORIUM SELECTION,"Garlic and Herb Goat Cheese Log, 4 oz",4 oz,$1.99
SPECIALLY SELECTED,"Le Gruyere Cheese, 6 oz",6 oz,$5.85
EMPORIUM SELECTION,"Brie Cheese Round, 8 oz",8 oz,$4.75
HAPPY FARMS,"Wisconsin Extra Sharp Cheddar Cheese Block, 8 oz",8 oz,$2.05
EMPORIUM SELECTION,"Cranberry Cinnamon Flavored Goat Cheese Log, 6 oz",6 oz,$3.95
FRIENDLY FARMS,"Light Sour Cream, 16 oz",16 oz,$2.05
HAPPY FARMS,"2% Milk Reduced Fat American Cheese Singles, 16 count",10.67 oz,$2.05
FRIENDLY FARMS,"2% Lactose Free Milk, 64 fl oz",64 fl oz,$3.55
FRIENDLY FARMS,"1% Milk, 64 fl oz",0.5 gal,$1.89
HAPPY FARMS,"Sharp Cheddar Cheese Block, 8 oz",8 oz,$2.05
HAPPY FARMS,"Deli Sliced Mild Cheddar Cheese, 8 oz",8 oz,$1.75
HAPPY FARMS,"Deli Sliced Pepper Jack Cheese, 7.5 oz",7.5 oz,$1.95
HAPPY FARMS,"Deli Sliced Muenster Cheese, 8 oz",8 oz,$1.95
