brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
BAKE SHOP,"Cheesecake Sampler, 16 oz",16 oz,$5.49,1640.6532531914897,24.12725372340426,453.5923700000001
SPECIALLY SELECTED,"Cream Cheese Fill Croissant, 4 count",9.59 oz,$3.99,999.5291425321692,19.990582850643385,271.87192676875003
SPECIALLY SELECTED,"Raspberry Filled Croissant, 4 count",9.59 oz,$3.99,906.2397558958334,18.12479511791667,271.87192676875003
SPECIALLY SELECTED,"Chocolate S'mores Soufflé, 2.8 oz",2.8 oz,$1.89,297.6699928125001,3.968933237500001,79.37866475000001
SPECIALLY SELECTED,"Banana Caramel Soufflé, 2.8 oz",2.8 oz,$1.89,291.0551040833334,2.645955491666667,79.37866475000001
SPECIALLY SELECTED,"Cookies & Cream Mousse Dessert Cups, 4.2 oz",4.2 oz,$2.85,,,
BAKER'S TREAT,"Honey Buns, 6 count",10.5 oz,$2.15,1250.2139698125002,17.86019956875,297.6699928125
BAKE SHOP,"Caramel Dulce De Leche Sandwich Cookies, 12 count",15.5 oz,$4.99,2326.328515257353,25.84809461397059,439.41760843750006
L'OVEN FRESH,"Original Zero Net Carb Wraps, 6 count",7.8 oz,$2.99,418.3470169256757,35.85831573648649,221.12628037500002
MAMA COZZI'S PIZZA KITCHEN,"Ready To Bake Jalapeno Pizza Dough, 16 oz",16 oz,$1.35,954.931305263158,39.788804385964916,453.5923700000001
BAKER'S TREAT,"Powered Mini Donuts, 10 oz",10 oz,$2.19,1143.9281260964915,14.920801644736846,283.4952312500001
BAKE HOUSE CREATIONS,"Vegan Salted Caramel Cookie Dough Core, 4 Count",10.96 oz,$3.55,1308.2558882105266,16.353198602631583,310.7107734500001
BAKE HOUSE CREATIONS,"Vegan Fudge Cookie Dough Core, 4 count",10.96 oz,$3.55,1308.2558882105266,16.353198602631583,310.7107734500001
