brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
4TH & HEART,"Himalayan Pink Salt Clarified Butter Ghee, 9 oz",9 oz,$9.99,2355.1911519230775,0.0,255.14570812500006
4TH & HEART,"Garlic Clarified Butter Ghee, 9 oz",9 oz,$9.99,2158.925222596154,0.0,255.14570812500006
HAPPY FARMS,"Original Swiss Spreadable Cheese Wedges, 6 oz",5.4 oz,$2.55,364.49386875000005,14.579754750000003,153.08742487500004
HAPPY FARMS,"Garlic & Herb Spreadable Cheese Wedges, 6 oz",5.4 oz,$2.55,201.4308222039474,16.114465776315793,153.08742487500004
BARISSIMO,"Non Dairy Oatmeal Cookie Coffee Creamer, 32 fl oz",32 fl oz,$3.85,,,
BARISSIMO,"Non Dairy Vanilla Coffee Creamers, 32 fl oz",32 fl oz,$3.85,,,
FRIENDLY FARMS,"Non-Fat Strawberry Greek Yogurt, 4 count",4 x 5.3 oz,$2.85,,,
FRIENDLY FARMS,"Mixed Berry Blended Non-Fat Greek Yogurt, 4 count",4 x 5.3 oz,$2.85,,,
FRIENDLY FARMS,"Tropical Fruit Blended Non-Fat Greek Yogurt, 4 count",4 x 5.3 oz,$2.85,,,
FRIENDLY FARMS,Blueberry Non-Fat Greek Yogurt 4 pack,4 x 5.3 oz,$2.85,,,
BELGIOIOSO,"Thin Sliced Fresh Mozzarella, 16 oz",16 oz,$8.15,1133.980925,80.9986375,453.5923700000001
FRIENDLY FARMS,"Extra Creamy Whipped Dairy Topping, 13 oz",13 oz,$3.29,1105.6314018750002,0.0,368.5438006250001
COUNTRYSIDE CREAMERY,"Spreadable Butter with Olive Oil & Sea Salt, 15 oz",15 oz,$4.15,2733.7040156250005,0.0,425.24284687500005
EMPORIUM SELECTION,"Spicy Gouda Cheese, 7 oz",7 oz,$4.25,708.738078125,49.611665468750004,198.44666187500002
EMPORIUM SELECTION,"Smoked Cheddar Slice Cheese, 8 oz",8 oz,$2.15,890.9850125,56.69904625000001,226.79618500000004
EMPORIUM SELECTION,"Smoked Gouda Slice Cheese, 8 oz",8 oz,$2.15,809.9863750000001,56.69904625000001,226.79618500000004
SPECIALLY SELECTED,"Traditional Burrata Cheese, 8 oz",8 oz,$5.39,688.48841875,51.029141625,226.79618500000004
FRIENDLY FARMS,"Plain Kefir Unsweetened Low Fat Milk , 32 fl oz bottle",32 oz,$3.19,,,
FRIENDLY FARMS,"Kefir Strawberry Flavored Low Fat Milk, 32 fl oz bottle",32 oz,$3.19,,,
FRIENDLY FARMS,"Kefir Blueberry Flavored Low Fat Milk, 32 fl oz bottle",32 oz,$3.19,,,
BARISSIMO,"Caramel Macchiato Flavored Cold Foam, 13 oz",13 oz,$3.75,,,
FRIENDLY FARMS,"Birthday Cake Whipped Dairy Topping, 13 oz",13 oz,$2.85,921.3595015625002,0.0,368.5438006250001
BARISSIMO,"Salted Caramel Mocha Coffee Creamer, 32 fl oz",32 fl oz,$2.69,,,
EMPORIUM SELECTION,"Spring Garden Goat Milk Cheese Log, 6 oz",6 oz,$3.95,485.99182500000006,30.374489062500004,170.09713875000003
EMPORIUM SELECTION,"Hot Honey Goat Milk Cheese Log, 6 oz",6 oz,$3.95,546.7408031250001,24.299591250000002,170.09713875000003
PILLARS,"Peach Drinkable Greek Yogurt, 12 fl oz",12 fl oz,$2.99,,,
PILLARS,"Mixed Berry Drinkable Greek Yogurt, 12 fl oz",12 fl oz,$2.99,,,
DEAN'S,"Creamy French Onion Dip, 16 oz",16 oz,$2.75,907.1847400000001,15.119745666666669,453.5923700000001
OIKOS PRO,"Zero Sugar Added Strawberry Flavored Protein Shots - 6 pack , 3.1 fl oz bottle",18.6 Fl Oz,$4.58,,,
HAPPY FARMS,"Spicy Pepper Spreadable Cheese Wedges, 6 oz",5.4 oz,$2.55,201.4308222039474,16.114465776315793,153.08742487500004
FRIENDLY FARMS,"Strawberry Banana Flavored Drinkable Greek Yogurt, 7 fl oz",7 fl oz,$1.65,,,
FRIENDLY FARMS,"Mixed Berry Flavored Drinkable Greek Yogurt, 7 fl oz",7 fl oz,$1.65,,,
HAPPY FARMS,"Extra Sharp New York Cheddar Cheese Cubes, 8 oz",8 oz,$3.19,890.9850125,56.69904625000001,226.79618500000004
HAPPY FARMS,"Gouda Cheese Cubes, 8 oz",8 oz,$3.19,809.9863750000001,56.69904625000001,226.79618500000004
HAPPY FARMS,"Gouda Cheese Snack Sticks, 12 count",9 oz,$3.59,850.4856937500002,60.748978125000015,255.14570812500006
HAPPY FARMS,"Habanero Jack Cheese Snack Sticks, 12 count",9 oz,$3.59,971.9836500000002,60.748978125000015,255.14570812500006
HAPPY FARMS,"Extra Sharp Yellow Cheddar Cracker Cuts Slices, 30 count",10 oz,$3.09,1113.731265625,70.87380781250002,283.4952312500001
HAPPY FARMS,"Gouda Cracker Cuts Cheese Slices, 30 count",10 oz,$3.09,1012.4829687500002,70.87380781250002,283.4952312500001
PARK STREET DELI,"Garden Vegetable Cream Cheese Dip with Pretzels, 2.25 oz",2.25 oz,$1.65,189.36595524902347,3.986651689453126,63.786427031250014
PARK STREET DELI,"Strawberry Cream Cheese Dip with Crackers, 2.25 oz",2.25 oz,$1.65,219.2658429199219,2.9899887670898444,63.786427031250014
PARK STREET DELI,"Jalapeno Cream Cheese Dip with Pretzels, 2.25 oz",2.25 oz,$1.65,199.3325844726563,3.986651689453126,63.786427031250014
BARISSIMO,"Cinnamon Roll Coffee Creamer, 32 fl oz",32 fl oz,$2.75,,,
BARISSIMO,"Coconut Creme Coffee Creamer, 32 fl oz",32 fl oz,$2.75,,,
FRIENDLY FARMS,"Whole Milk Ricotta Cheese, 15 oz",15 oz,$2.85,740.7456042338711,48.01128916330646,425.24284687500005
FRIENDLY FARMS,"Part Skim Ricotta Cheese, 15 oz",15 oz,$2.85,617.2880035282259,41.15253356854839,425.24284687500005
COFFEEMATE,"Zero Sugar Italian Sweet Cream Coffee Creamer, 32 fl oz",32 fl oz,$4.39,,,
COFFEEMATE,"Zero Sugar Chocolate Caramel Coffee Creamer, 32 fl oz",32 fl oz,$4.39,,,
