brand,name,weight,price
SPECIALLY SELECTED,"Sliced Sourdough Round, 24 oz",24 oz,$3.65
SPECIALLY SELECTED,"Artisan Flatbread, 14.1 oz",14.1 oz,$4.39
L'OVEN FRESH,"Spinach Herb Wraps, 15 oz",15 oz,$3.29
SPECIALLY SELECTED,"Brioche Rolls, 16.9 oz",16.9 oz,$3.99
L'OVEN FRESH,"Sun-Dried Tomato Wraps, 15 oz",15 oz,$3.29
L'OVEN FRESH,"Center Split Deli Rolls - 6 count, 15 oz",15 oz,$2.75
SPECIALLY SELECTED,"Chocolate Chip Sliced Brioche Loaf, 1.1 lb",17.6 oz,$5.45
BAKE HOUSE CREATIONS,"Cinnamon Rolls with Icing, 8 count",8 ct,$2.45
L'OVEN FRESH,"Oat Bran Bread, 20 oz",20 oz,$2.19
BAKE SHOP,"Large Croissants, 10.5 oz",10.5 oz,$3.29
PUEBLO LINDO,"Large Burrito Flour Tortillas, 8 count",8 ct,$2.19
BAKE SHOP,"Kitchen Sink Cookies, 14 oz",14 oz,$4.29
CASA MAMITA,"Crunchy Hard Taco Shells, 12 count",4.6 oz,$1.65
SPECIALLY SELECTED,"Garlic Naan Bread, 17.6 oz",17.6 oz,$5.49
SPECIALLY SELECTED,"Sourdough Square Loaf, 24 oz",24 oz,$3.65
SPECIALLY SELECTED,"Ciabatta Sandwich Rolls, 18 oz",18 oz,$3.75
PUEBLO LINDO,"6"" White Corn Tortillas, 30 count",25 oz,$2.15
L'OVEN FRESH,"Classic Kaiser Buns, 8 count",26 oz,$3.09
BAKE HOUSE CREATIONS,"Jumbo Flaky Biscuits, 16 oz",16 oz,$1.99
L'OVEN FRESH,"35 Calorie Whole Wheat Bread, 16 oz",16 oz,$2.65
BAKE SHOP,"Strawberry Cheese Danish, 14 oz",14 oz,$3.39
PUEBLO LINDO,"6"" Yellow Corn Tortillas, 30 count",25 oz,$2.15
L'OVEN FRESH,"Heat & Serve Garlic Knots, 8 count",10.4 oz,$3.29
SIMPLY NATURE,"Seedtastic Organic Bread, 27 oz",27 oz,$4.65
SPECIALLY SELECTED,"Brioche Buns, 6 count",10.58 oz,$4.25
LIVEGFREE,"Gluten Free Wide Pan Whole Grain Bread, 20 oz",20 oz,$7.69
TURANO,"Pane Italian Bread, 24 oz",24 oz,$5.29
EL MILAGRO,"8"" Fajita Flour Tortillas, 10 count",10 ct,$2.19
SIMPLY NATURE,"Organic Graintastic Thin-sliced Bread, 20.4 oz",20 oz,$3.55
TURANO,"French Rolls, 16 oz",16 oz,$4.65
L'OVEN FRESH,"Garlic Herb Bread, 10 oz",10 oz,$3.65
LEWIS BAKE SHOP,"Hawaiian Half Loaf Bread, 12 oz",12 oz,$2.35
L'OVEN FRESH,"Bagel Skinny's, 13 oz",13 oz,$2.99
EL MILAGRO,"Gluten Free Corn Tostadas, 24 count",14 oz,$4.39
L'OVEN FRESH,"Pains au Chocolat, 12.69 oz",12.69 oz,$4.85
EGGLIFE,"Original Egg Wrap, 6 oz",6 oz,$5.49
EL MILAGRO,"Corn Tortillas, 12 count",12 ct,$0.75
SIMPLY NATURE,"Graintastic Organic Bread, 27 oz",27 oz,$4.65
LIVEGFREE,"Gluten Free Wide Pan White Bread, 20 oz",20 oz,$7.69
L'OVEN FRESH,"Pre-Sliced Bagel Skinnys, 8 count",13 oz,$2.99
L'OVEN FRESH,"Plain Protein Wraps, 12 oz",12 oz,$3.29
SPECIALLY SELECTED,"Croissant Rich Butter Flavor Buns, 4 count",10.58 oz,$3.99
SIMPLY NATURE,"Organic Seedtastic Thin-Sliced Bread, 20.4 oz",20.4 oz,$3.55
EL MILAGRO,"Flour Tortillas, 12 count",12 ct,$1.45
BAKE SHOP,"Cinnamon Sweet Rolls, 8 count",22 oz,$3.75
SPECIALLY SELECTED,"Sesame Seed Brioche Buns, 6 count",10.58 oz,$4.25
SPECIALLY SELECTED,"Take & Bake French Baguette, 9.5 oz",9.5 oz,$2.05
L'OVEN FRESH,"Keto Friendly White Bread, 14 oz",14 oz,$4.65
L'OVEN FRESH,"Keto Friendly Wheat Bread, 14 oz",14 oz,$4.65
SPECIALLY SELECTED,"Garlic Mini Naan, 12.7 oz",12.7 oz,$5.25
CASA MAMITA,"Soft Taco Dinner Kit, 14 oz",14 oz,$3.65
CASA MAMITA,"Crunchy Taco Dinner Kit, 8.6 oz",8.6 oz,$3.65
L'OVEN FRESH,"Hawaiian Bagels, 20 oz",20 oz.,$1.89
SPECIALLY SELECTED,"Sliced Italian Loaf, 24 oz",24 oz,$4.19
SPECIALLY SELECTED,"All Butter Croissants, 6 count",12 oz,$4.09
L'OVEN FRESH,"Original Low Carb Tortillas, 8 count",12 oz,$3.65
EGGLIFE,"Garden Salsa Egg Wrap, 6 oz",6 oz,$5.49
BAKE SHOP,"Chocolate Frosted Mini Donut, 14 oz",14 oz,$3.49
BAKE SHOP,"Powdered Sugar Mini Donut, 14 oz",14 oz,$3.49
BAKER'S TREAT,"Cinnamon Crunch Mini Muffins, 20 count",8.25 oz,$2.75
BAKER'S TREAT,"Cotton Candy Mini Muffins, 20 count",8.25 oz,$2.75
L'OVEN FRESH,"French Toast Bagels, 20 oz",20 oz.,$1.89
TWO-BITE,"Oreo Mini Muffins, 9 count",,$4.49
BAKE SHOP,"7 Up Lemon Lime Cake, 20 oz",20 oz,$5.39
SPECIALLY SELECTED,"Strawberry White Chocolate Mousse Dessert Cups, 4.2 oz",4.2 oz,$2.85
BAKE SHOP,"Cheesecake Sampler, 16 oz",16 oz,$5.49
SPECIALLY SELECTED,"Cream Cheese Fill Croissant, 4 count",9.59 oz,$3.99
SPECIALLY SELECTED,"Raspberry Filled Croissant, 4 count",9.59 oz,$3.99
SPECIALLY SELECTED,"Chocolate S'mores Soufflé, 2.8 oz",2.8 oz,$1.89
SPECIALLY SELECTED,"Banana Caramel Soufflé, 2.8 oz",2.8 oz,$1.89
SPECIALLY SELECTED,"Cookies & Cream Mousse Dessert Cups, 4.2 oz",4.2 oz,$2.85
BAKER'S TREAT,"Honey Buns, 6 count",10.5 oz,$2.15
BAKE SHOP,"Caramel Dulce De Leche Sandwich Cookies, 12 count",15.5 oz,$4.99
L'OVEN FRESH,"Original Zero Net Carb Wraps, 6 count",7.8 oz,$2.99
MAMA COZZI'S PIZZA KITCHEN,"Ready To Bake Jalapeno Pizza Dough, 16 oz",16 oz,$1.35
BAKER'S TREAT,"Powered Mini Donuts, 10 oz",10 oz,$2.19
BAKE HOUSE CREATIONS,"Vegan Salted Caramel Cookie Dough Core, 4 Count",10.96 oz,$3.55
BAKE HOUSE CREATIONS,"Vegan Fudge Cookie Dough Core, 4 count",10.96 oz,$3.55
