brand,name,weight,price
BARISSIMO,"Fair Trade Hazelnut Flavored Coffee Pods, 12 count",12 ct,$5.05
BENNER,"Green Tea Citrus Iced Tea - 12 pack, 16.9 fl oz",12 x 16.9 fl oz,$5.65
BARISSIMO,"Donut Store Medium Roast 100% Arabica Blend Ground Coffee, 12 oz",12 oz,$7.39
SUMMIT,"Caffeine Free Ginger Ale Soda - 12 pack, 12 fl oz can",12 x 12 fl oz,$4.65
NATURE'S NECTAR,"Cranberry Pomegranate Juice Cocktail, 64 fl oz",64 fl oz,$3.25
NATURE'S NECTAR,"100% Apple Juice, 64 fl oz",64 fl oz,$2.39
BARISSIMO,"Breakfast Blend Medium Roast 100% Arabica Ground Coffee, 12 oz",12 oz,$7.39
BENNER,"Diet Green Tea Citrus Iced Tea - 12 pack, 16.9 fl oz",12 x 16.9 fl oz,$5.65
PURAQUA,"Fruit Punch Drink Mix, 6 count",6 ct,$2.55
SIMPLY NATURE,"Organic 100% Apple Juice, 64 fl oz",64 fl oz,$3.29
NATURE'S NECTAR,"Strawberry Kiwi Juice Drink, 59 fl oz",59 fl oz,$1.75
NATURE'S NECTAR,"100% Cranberry Juice, 64 fl oz",64 fl oz,$3.65
NATURE'S NECTAR,"100% Grape Juice, 64 fl oz",64 fl oz,$3.25
BARISSIMO,"Fair Trade Colombian Medium Roast Coffee Pods, 12 count",12 ct,$5.05
BARISSIMO,"Fair Trade Midnight Blend Dark Roast Coffee Pods, 12 count",12 ct,$5.05
BEAUMONT,"Classic Medium Decaf Ground Coffee, 11.3 oz",11.3 oz,$6.59
PURAQUA,"Peach Iced Tea Drink Mix, 6 count",6 ct,$2.55
PURAQUA,"Black Cherry Sparkling Flavored Water, 33.8 fl oz",33.8 fl oz,$0.85
NATURE'S NECTAR,"Splash Tropical Blend Juice Cocktail, 64 fl oz",64 fl oz,$1.99
SUMMIT,"Cola, 2 Liter Bottle",2 L,$1.09
NATURE'S NECTAR,"100% Apple Cider, 1 gal",128 fl oz,$6.15
PURAQUA,"Purified Water - 24 pack, 16.9 fl oz Bottles",24 x 16.9 fl oz,$3.29
NESTLE,"Dark Roast Instant Coffee, 7 oz",7 oz,$10.19
PURAQUA,"Purified Water - 24 pack, 10 fl oz Bottles",24 x 10 fl oz,$4.15
PURAQUA,"Natural Spring Water - 24 pack, 16.9 fl oz Bottles",24 x 16.9 fl oz,$4.19
NATURE'S NECTAR,"100% White Grape Juice, 64 fl oz",64 fl oz,$3.25
PURAQUA,"Strawberry Sparkling Flavored Water, 33.8 fl oz",33.8 fl oz,$0.85
PURAQUA,"Strawberry Watermelon Liquid Water Enhancer, 1.62 fl oz",1.62 fl oz,$1.99
SUMMIT,"Diet Cola - 12 Pack, 12 fl oz can",12 x 12 fl oz,$4.65
NATURE'S NECTAR,"Cranberry Raspberry Juice Cocktail, 64 fl oz",64 fl oz,$3.25
NATURE'S NECTAR,"100% Mango Passion Juice, 64 fl oz",64 fl oz,$3.09
NATURE'S NECTAR,"Cranberry Grape Juice Cocktail, 64 fl oz",64 fl oz,$3.25
BARISSIMO,"Hazelnut Flavored Ground Coffee, 12 oz",12 oz,$7.39
BARISSIMO,"French Vanilla Flavored Ground Coffee, 12 oz",12 oz,$7.39
PURAQUA,"Lemonade Sparkling Frost Water, 17 fl oz",17 fl oz,$0.65
PURAQUA,"Black Raspberry Sparkling Flavored Frost Water, 17 fl oz",17 fl oz,$0.65
BARISSIMO,"French Dark Roast Ground Coffee, 12 oz",12 oz,$7.39
PURAQUA,"Pineapple Coconut Sparkling Frost Water, 17 fl oz",17 fl oz,$0.65
PURAQUA,"Lemon Belle Vie Sparkling Flavored Water - 12 pack, 12 fl oz",12 x 12 fl oz,$4.69
PURAQUA,"Original Belle Vie Sparkling Flavored Water - 12 pack, 12 fl oz",12 x 12 fl oz,$4.69
SUMMIT,"Ginger Beer - 4 pack, 12 fl oz",4 x 12 fl oz,$3.65
BARISSIMO,"Fair Trade Decaf Donut Store Medium Roast Coffee Pods, 12 count",12 ct,$5.05
BARISSIMO,"Caramel Cappuccino Coffee Pods, 12 count",12 ct,$5.05
BEAUMONT,"Instant Regular Coffee, 8 oz",8 oz,$5.95
BARISSIMO,"French Vanilla Cappuccino Coffee Pods, 12 count",12 ct,$5.05
SIMPLY NATURE,"Fair Trade Organic Extra Bold Medium Roast Coffee Pods, 12 count",12 ct,$5.45
NATURE'S NECTAR,"Aloe Vera Drink, 16.9 fl oz",16.9 fl oz,$1.09
BARISSIMO,"Fair Trade French Vanilla Flavored Single Serve Coffee Pods, 12 count",12 ct,$5.05
SUMMIT,"Citrus Twist Lemon Lime Soda - 12 pack cans, 12 fl oz",12 x 12 fl oz,$4.65
SIMPLY NATURE,"Organic Fruit Punch Juice - 8 pack, 6.75 fl oz box",8 x 6.75 fl oz,$3.85
PURAQUA,"Orange Tangerine Liquid Water Enhancer - 24 pack, 1.62 fl oz",1.62 fl oz,$1.99
SIMPLY NATURE,"Organic 100% 7 Super Fruits Juice, 33.8 fl oz",33.8 fl oz,$3.95
PURAQUA,"Lemonade Flavored Water, 33.8 fl oz",33.8 fl oz,$0.89
