brand,name,weight,price,Total Calories,Total Protein (g),Total Weight (g)
BARISSIMO,"Fair Trade Single Origin Sumatra Dark Roast Ground Coffee, 12 oz",12 oz,$7.95,3.4450053417721525,0.43062566772151906,340.19427750000006
NATURE'S NECTAR,"Cranberry Apple Juice Cocktail, 64 fl oz",64 fl oz,$3.15,,,
BARISSIMO,"Fair Trade Hazelnut Flavored Coffee Pods, 12 count",12 ct,$5.05,0.024303797468354434,0.003037974683544304,2.4000000000000004
BENNER,"Green Tea Citrus Iced Tea - 12 pack, 16.9 fl oz",12 x 16.9 fl oz,$5.49,,,
BARISSIMO,"Donut Store Medium Roast 100% Arabica Blend Ground Coffee, 12 oz",12 oz,$7.15,102.05828325000002,12.757285406250002,340.19427750000006
SUMMIT,Ginger Ale 12pk,12 x 12 fl oz,$4.69,,,
NATURE'S NECTAR,"Cranberry Pomegranate Juice Cocktail, 64 fl oz",64 fl oz,$3.15,,,
NATURE'S NECTAR,"100% Apple Juice, 64 fl oz",64 fl oz,$2.39,,,
BARISSIMO,"Breakfast Blend Medium Roast 100% Arabica Ground Coffee, 12 oz",12 oz,$7.15,102.05828325000002,12.757285406250002,340.19427750000006
BENNER,"Diet Green Tea Citrus Iced Tea - 12 pack, 16.9 fl oz",12 x 16.9 fl oz,$5.49,,,
PURAQUA,"Fruit Punch Drink Mix, 6 count",6 ct,$2.45,3.0000000000000004,0.0,1.2000000000000002
SIMPLY NATURE,"Organic 100% Apple Juice, 64 fl oz",64 fl oz,$3.19,,,
NATURE'S NECTAR,"Strawberry Kiwi Juice Drink, 59 fl oz",59 fl oz,$1.65,,,
NATURE'S NECTAR,"100% Cranberry Juice, 64 fl oz",64 fl oz,$3.65,,,
NATURE'S NECTAR,"100% Grape Juice, 64 fl oz",64 fl oz,$3.25,,,
BARISSIMO,"Fair Trade Colombian Medium Roast Coffee Pods, 12 count",12 ct,$5.05,0.024303797468354434,0.003037974683544304,2.4000000000000004
BARISSIMO,"Fair Trade Midnight Blend Dark Roast Coffee Pods, 12 count",12 ct,$5.05,0.024303797468354434,0.003037974683544304,2.4000000000000004
BEAUMONT,"Classic Medium Decaf Ground Coffee, 11.3 oz",11.3 oz,$6.59,0.0,0.0,320.3496113125001
PURAQUA,"Peach Iced Tea Drink Mix, 6 count",6 ct,$2.45,0.3555555555555556,0.0,1.2000000000000002
PURAQUA,"Black Cherry Sparkling Flavored Water, 33.8 fl oz",33.8 fl oz,$0.79,,,
NATURE'S NECTAR,"Splash Tropical Blend Juice Cocktail, 64 fl oz",64 fl oz,$2.09,,,
SUMMIT,"Cola, 2 Liter Bottle",2 L,$1.09,,,
