brand,name,weight,price
,"Organic Green Grapes, 2 lb",2 lb,$5.49
,"Baby Peeled Carrots, 16 oz",16 oz,$1.35
,"Granny Smith Apples, 3 lb",,$3.95
,"Golden Kiwi, Package",1 lb,$4.39
,"Red Delicious Apples, 3 lb",3 lb,$2.85
,"Red & Yellow Potatoes, 24 oz",24 oz,$3.09
,"Strawberries, 1 lb",1 lb,$2.59
,"Green Peppers, 3 count",3 ct,$2.19
,"Pink Lady Apples, 3 lb",3 lb,$3.85
,"Organic Blackberries, 6 oz",6 oz,$3.29
,"Russet Potatoes, 10 lb",10 lb,$5.19
,"Blueberries, 1 pint",1 pt,$1.99
,"Organic Red Grapes, 2 lb",,$5.49
,"Mandarin Oranges, 3 lb",,$4.09
,"Pineapple, each",1 each,$2.29
,"Portabella Mushrooms, 6 oz",6 oz,$2.45
,"Grape Tomatoes, 10 oz",10 oz,$2.19
,"Blackberries, 6 oz",6 oz,$2.19
,"Asparagus, 1 lb",1 lb,$2.99
,"Organic Blueberries, Package",1 pt,$3.85
,"Jalapeno Peppers, 8 oz",8 oz,$0.89
,"Fresh Organic Strawberries, 1 lb",1 lb,$3.55
,"Cauliflower Crowns, each",1 each,$3.29
,"Mini Avocados, 6 count",6 ct,$3.29
,"Anjou Pears, 3 lb",3 lb,$5.39
,"Beefsteak Tomatoes, 1 lb",1 lb,$2.55
,"Tomatoes On the Vine, 24 oz",24 oz,$3.09
,"Cabbage, each",3 lb,$2.25
,"Sugar Snap Peas, 8 oz",8 oz,$2.65
,"Watermelon, each",1 each,$5.15
,"Lemons, 2 lb",2 lb,$4.29
,"Organic Celery Hearts, each",1 each,$2.85
,"Red Potatoes, 5 lb",5 lb,$4.65
,"Gourmet Medley Tomatoes, 12 oz",12 oz,$3.29
,"Organic Mini Cucumbers, 1 lb",1 lb,$3.65
,"Radishes, 16 oz",16 oz,$1.85
,"Cocktail Tomatoes, 16 oz",1 lb,$3.59
,"Nectarines, 2 lb",2 lb,$3.75
,"Green Onions, 5.5 oz",5.5 oz,$0.95
,"Sliced White Mushrooms, 8 oz",,$1.42
,"Organic Grape Tomatoes, 10 oz",10 oz,$3.09
,"Kiwi, 2 lb",2 lb,$4.75
,"Organic Broccoli, each",1 each,$3.55
,"Organic Pink Lady Apples, 3 lb",3 lb,$4.75
,"Navel Oranges, 3 lb",3 lb,$3.55
,"Sweet Corn, 4 count",4 ct,$3.09
,"Baking Potatoes, 5 lb",5 lb,$3.95
,"Plums, 2 lb",2 lb,$3.85
,"Limes, 1 lb",1 lb,$2.45
,"Celery, each",1 each,$2.05
,"White Onions, 2 lb",2 lb,$2.45
,"Cherub Grape Tomatoes, 10 oz",10 oz,$2.65
,"Red Onions, 2 lb",2 lb,$2.45
,"Mini Cucumbers, 1 lb",1 lb,$1.75
,"Yellow Onions, 3 lb",3 lb,$2.99
,"Multi-Colored Peppers, 3 count",3 ct,$2.85
,"Cilantro Bunch, each",1 each,$1.05
,"Boston Hydroponic Lettuce, each",1 each,$2.75
,"Ginger Root, 8 oz",8 oz,$2.19
,"Seedless Cucumber, ea",1 each,$1.05
,"Bite Size Yellow Potatoes, 24 oz",24 oz,$3.09
,"Yellow Potatoes, 5 lb",5 lb,$4.65
,"Raspberries, 6 oz",6 oz,$2.99
